image,image_data,object_info,actr_data
000000036417.jpg,"[['bottle', 86.82149648666382, 867, 730, 337, 8], ['apple', 91.01420044898987, 725, 385, 652, 379]]","[['bottle', 86.82149648666382, 798, 172, 45073, 2.7839831486238884], ['apple', 91.01420044898987, 555, 515, 92820, 2.9986414085186275]]","['_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= , screen_x= 555, screen_y= 515, value= ), value= apple) [0.7247]']"
000000037367.jpg,"[['laptop', 99.81802701950072, 806, 393, 599, 338], ['chair', 62.9758894443512, 1539, 1121, 787, 359], ['diningtable', 90.59062600135805, 1413, 199, 1060, 420], ['chair', 95.56815028190613, 912, 781, 428, 288], ['chair', 98.38525652885436, 1139, 908, 477, 271], ['bottle', 97.33930230140686, 1192, 1114, 576, 341], ['book', 65.85070490837097, 1123, 872, 649, 564], ['cup', 96.3106632232666, 901, 835, 505, 382], ['mouse', 98.6489474773407, 797, 683, 596, 538], ['remote', 91.67460203170776, 1108, 912, 623, 564]]","[['laptop', 99.81802701950072, 599, 468, 107793, 3.282483802522808], ['chair', 62.9758894443512, 1330, 573, 178904, 2.7357089549231492], ['diningtable', 90.59062600135805, 806, 740, 776960, 2.982512677030692], ['chair', 95.56815028190613, 846, 358, 18340, 3.122055228983793], ['chair', 98.38525652885436, 1023, 374, 47586, 3.1245122625094948], ['bottle', 97.33930230140686, 1153, 458, 18330, 3.0394626840835324], ['book', 65.85070490837097, 997, 606, 21335, 2.7685468973512517], ['cup', 96.3106632232666, 868, 443, 8118, 3.2253460540818466], ['mouse', 98.6489474773407, 740, 567, 6612, 3.1019748930421285], ['remote', 91.67460203170776, 1010, 593, 11564, 3.026940853678574]]","['_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= , screen_x= 599, screen_y= 468, value= ), value= laptop) [0.7296]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 740, screen_y= 567, value= None), value= mouse) [1.1757]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 868, screen_y= 443, value= None), value= cup) [1.5917]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 846, screen_y= 358, value= None), value= chair) [1.9213]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1023, screen_y= 374, value= None), value= chair) [2.3606]']"
000000041398.jpg,"[['cake', 74.36175346374513, 1243, 508, 912, 359], ['bottle', 75.07745623588563, 653, 489, 347, 54], ['bowl', 88.51064443588257, 1530, 1231, 386, 25], ['bowl', 69.40886378288269, 400, 137, 1046, 851]]","[['cake', 74.36175346374513, 875, 635, 406455, 2.893332878213228], ['bottle', 75.07745623588563, 571, 200, 48052, 2.989663386404963], ['bowl', 88.51064443588257, 1380, 205, 107939, 3.1287529328408112], ['bowl', 69.40886378288269, 268, 948, 51285, 2.8374804846244817]]",[]
000000044569.jpg,"[['cup', 99.28869009017944, 1070, 754, 447, 203], ['cup', 73.7025499343872, 913, 742, 188, 20], ['cup', 99.03613328933716, 1165, 938, 202, 34], ['cup', 91.1185085773468, 1363, 1075, 353, 199], ['apple', 98.92728328704834, 1352, 1048, 608, 281], ['knife', 60.83410978317261, 1540, 1338, 916, 410], ['spoon', 71.92638516426085, 1388, 1267, 979, 496]]","[['cup', 99.28869009017944, 912, 325, 77104, 3.227283022243475], ['cup', 73.7025499343872, 827, 104, 28728, 2.9137666875727244], ['cup', 99.03613328933716, 1051, 118, 38136, 3.0696671509433946], ['cup', 91.1185085773468, 1219, 276, 44352, 3.1405867861422494], ['apple', 98.92728328704834, 1200, 444, 99408, 3.184491934668036], ['knife', 60.83410978317261, 1439, 663, 102212, 2.6001418885323355], ['spoon', 71.92638516426085, 1327, 737, 58443, 2.9021793415823436]]","['_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= , screen_x= 827, screen_y= 104, value= ), value= cup) [0.569]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1051, screen_y= 118, value= None), value= cup) [1.1584]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1219, screen_y= 276, value= None), value= cup) [1.6042]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1200, screen_y= 444, value= None), value= apple) [2.025]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 912, screen_y= 325, value= None), value= cup) [2.6479]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1327, screen_y= 737, value= None), value= spoon) [3.1777]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1439, screen_y= 663, value= None), value= knife) [3.5849]']"
000000044878.jpg,"[['sandwich', 65.3648316860199, 663, 274, 869, 425], ['bottle', 98.33690524101256, 782, 546, 454, -6], ['cup', 99.55045580863951, 1092, 806, 589, -9], ['sandwich', 89.58404660224916, 1623, 1393, 455, 238], ['sandwich', 92.27759838104248, 1631, 1439, 699, 548], ['sandwich', 85.66880226135255, 889, 624, 845, 519]]","[['sandwich', 65.3648316860199, 468, 647, 172716, 2.771196247918921], ['bottle', 98.33690524101256, 664, 224, 108560, 3.104451393101997], ['cup', 99.55045580863951, 949, 290, 171028, 3.139353580108384], ['sandwich', 89.58404660224916, 1508, 346, 49910, 3.191286518532548], ['sandwich', 92.27759838104248, 1535, 623, 28992, 3.2204937528675632], ['sandwich', 85.66880226135255, 756, 682, 86390, 3.1574618704191737]]",[]
000000047507.jpg,"[['bowl', 98.29245209693909, 787, 60, 818, 331], ['sandwich', 94.50334906578064, 1379, 815, 891, 424], ['spoon', 99.90952610969543, 1468, 445, 1013, 872], ['bottle', 99.4215965270996, 1378, 1060, 378, 91]]","[['bowl', 98.29245209693909, 423, 574, 354049, 3.1911704394969873], ['sandwich', 94.50334906578064, 1097, 657, 263388, 3.129618822082683], ['spoon', 99.90952610969543, 956, 942, 144243, 3.3176159122641242], ['bottle', 99.4215965270996, 1219, 234, 91266, 3.0975428180822218]]","['_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= , screen_x= 423, screen_y= 574, value= ), value= bowl) [0.5507]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 956, screen_y= 942, value= None), value= spoon) [1.0999]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1097, screen_y= 657, value= None), value= sandwich) [1.6481]']"
000000047949.jpg,"[['banana', 98.90826344490051, 944, 225, 275, 16], ['bottle', 78.7252902984619, 1254, 889, 306, 51], ['cake', 96.03530764579772, 1363, 238, 748, 266], ['diningtable', 63.88029456138611, 1458, 163, 1043, 214]]","[['banana', 98.90826344490051, 584, 145, 186221, 3.051401091696969], ['bottle', 78.7252902984619, 1071, 178, 93075, 2.9346203600299363], ['cake', 96.03530764579772, 800, 507, 542250, 3.293929891139743], ['diningtable', 63.88029456138611, 810, 628, 1073555, 2.881051555349741]]","['_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= , screen_x= 584, screen_y= 145, value= ), value= banana) [0.546]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 800, screen_y= 507, value= None), value= cake) [1.0723]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 810, screen_y= 628, value= None), value= diningtable) [1.5442]']"
000000051047.jpg,"[['cup', 99.19729232788086, 742, 404, 632, 40], ['diningtable', 99.7828483581543, 1652, 91, 1109, 166], ['bottle', 79.87422943115234, 1423, 1226, 373, 32], ['spoon', 88.13729286193848, 861, 582, 661, 442]]","[['cup', 99.19729232788086, 573, 336, 200096, 3.130954374553189], ['diningtable', 99.7828483581543, 871, 637, 1472023, 3.0734952443266126], ['bottle', 79.87422943115234, 1324, 202, 67177, 2.9247326349383336], ['spoon', 88.13729286193848, 721, 551, 61101, 2.9891706461487226]]","['_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= , screen_x= 573, screen_y= 336, value= ), value= cup) [0.5528]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 721, screen_y= 551, value= None), value= spoon) [0.9697]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 871, screen_y= 637, value= None), value= diningtable) [1.374]']"
000000053047.jpg,"[['banana', 99.34786558151244, 570, 12, 810, 133], ['cake', 96.00252509117126, 1631, 1191, 905, 383], ['bottle', 79.56505417823793, 343, 80, 428, 26]]","[['banana', 99.34786558151244, 291, 471, 377766, 3.1845865237846653], ['cake', 96.00252509117126, 1411, 644, 229680, 3.0776023934456918], ['bottle', 79.56505417823793, 211, 227, 105726, 2.8204854281217138]]",[]
000000053491.jpg,"[['pizza', 94.82898712158205, 1472, 173, 891, 553], ['bottle', 69.06686425209045, 798, 567, 216, 13], ['bottle', 98.29704165458679, 382, 107, 566, 35]]","[['pizza', 94.82898712158205, 822, 722, 439062, 2.911199655099788], ['bottle', 69.06686425209045, 682, 114, 46893, 2.8097119897448204], ['bottle', 98.29704165458679, 244, 300, 146025, 2.9208294183546513]]",[]
000000056828.jpg,"[['tvmonitor', 71.74774408340456, 1649, 1286, 754, 75], ['keyboard', 77.00281143188477, 431, 46, 679, 487], ['keyboard', 99.0744173526764, 1377, 325, 1087, 682]]","[['tvmonitor', 71.74774408340456, 1467, 414, 246477, 2.8955138683006663], ['keyboard', 77.00281143188477, 238, 583, 73920, 2.8463549762974396], ['keyboard', 99.0744173526764, 851, 884, 426060, 2.9606496964822906]]","['_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= , screen_x= 238, screen_y= 583, value= ), value= keyboard) [0.6173]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 851, screen_y= 884, value= None), value= keyboard) [1.0794]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1467, screen_y= 414, value= None), value= tvmonitor) [1.7664]']"
000000058864.jpg,"[['chair', 92.14135408401488, 1179, 802, 300, 47], ['laptop', 99.79179501533508, 877, 193, 821, 177], ['diningtable', 69.7160840034485, 1494, 129, 1038, 258], ['chair', 86.14983558654785, 640, 359, 163, 10], ['bottle', 99.21973943710329, 1205, 1083, 510, 131], ['cup', 96.19895219802856, 1069, 958, 525, 184], ['mouse', 99.72741603851318, 1289, 1062, 852, 690]]","[['chair', 92.14135408401488, 990, 173, 95381, 2.8905551896667045], ['laptop', 99.79179501533508, 535, 499, 440496, 3.1517289699105313], ['diningtable', 69.7160840034485, 811, 648, 1064700, 2.848454844424381], ['chair', 86.14983558654785, 499, 86, 42993, 2.984437046323837], ['bottle', 99.21973943710329, 1144, 320, 46238, 3.0814666666910613], ['cup', 96.19895219802856, 1013, 354, 37851, 3.2877429458601837], ['mouse', 99.72741603851318, 1175, 771, 36774, 3.51909454458096]]","['_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= , screen_x= 499, screen_y= 86, value= ), value= chair) [0.5386]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 535, screen_y= 499, value= None), value= laptop) [1.0394]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 811, screen_y= 648, value= None), value= diningtable) [1.4413]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1013, screen_y= 354, value= None), value= cup) [1.9328]']"
000000060360.jpg,"[['cup', 99.59235191345215, 625, 172, 569, 152], ['diningtable', 92.00425148010254, 1544, 118, 1087, 184], ['knife', 81.70468211174011, 872, 748, 224, 20], ['fork', 97.0932126045227, 469, 355, 670, 509], ['hot dog', 84.87111330032349, 1023, 827, 886, 485], ['hot dog', 93.54054927825928, 890, 683, 921, 511]]","[['cup', 99.59235191345215, 398, 360, 188901, 3.088446640071128], ['diningtable', 92.00425148010254, 831, 635, 1287678, 2.955033598319071], ['knife', 81.70468211174011, 810, 122, 25296, 2.945227053946378], ['fork', 97.0932126045227, 412, 589, 18354, 3.184539575325199], ['hot dog', 84.87111330032349, 925, 685, 78596, 3.023870469605959], ['hot dog', 93.54054927825928, 786, 716, 84870, 2.9817164563981176]]","['_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= , screen_x= 398, screen_y= 360, value= ), value= cup) [0.4946]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 412, screen_y= 589, value= None), value= fork) [0.9937]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 786, screen_y= 716, value= None), value= hot dog) [1.5368]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 831, screen_y= 635, value= None), value= diningtable) [1.8743]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 925, screen_y= 685, value= None), value= hot dog) [2.2983]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 810, screen_y= 122, value= None), value= knife) [2.7754]']"
000000062348.jpg,"[['chair', 72.54002094268799, 525, 120, 586, 302], ['bowl', 95.97275257110596, 707, 404, 827, 628], ['diningtable', 94.29579973220824, 1613, 69, 1036, 438], ['bottle', 83.64920616149901, 1199, 1055, 638, 321], ['bowl', 98.6581802368164, 863, 677, 621, 524], ['sandwich', 83.89071226119995, 663, 469, 532, 466]]","[['chair', 72.54002094268799, 322, 444, 115020, 2.9845637742001205], ['bowl', 95.97275257110596, 555, 727, 60297, 2.9309955226948494], ['diningtable', 94.29579973220824, 841, 737, 923312, 3.121341094621065], ['bottle', 83.64920616149901, 1127, 479, 45648, 2.9091688600058676], ['bowl', 98.6581802368164, 770, 572, 18042, 2.9178631929700547], ['sandwich', 83.89071226119995, 566, 499, 12804, 3.0203434781467955]]","['_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= , screen_x= 322, screen_y= 444, value= ), value= chair) [0.6033]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 566, screen_y= 499, value= None), value= sandwich) [1.1101]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 770, screen_y= 572, value= None), value= bowl) [1.605]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 841, screen_y= 737, value= None), value= diningtable) [2.0182]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 555, screen_y= 727, value= None), value= bowl) [2.4111]']"
000000065427.jpg,"[['pizza', 99.13635849952698, 1518, 225, 1055, 445], ['bottle', 97.47296571731569, 1399, 1158, 489, 23]]","[['pizza', 99.13635849952698, 871, 750, 788730, 3.181528025664865], ['bottle', 97.47296571731569, 1278, 256, 112306, 3.2003541638459616]]","['_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= , screen_x= 871, screen_y= 750, value= ), value= pizza) [0.8028]']"
000000074894.jpg,"[['tvmonitor', 96.55726552009584, 769, 288, 664, 388], ['chair', 98.50892424583435, 1368, 980, 1028, 719], ['bottle', 98.60112071037292, 411, 308, 748, 531], ['mouse', 89.26268815994263, 964, 891, 597, 571]]","[['tvmonitor', 96.55726552009584, 528, 526, 132756, 3.150059163791855], ['chair', 98.50892424583435, 1174, 873, 119892, 2.998640414150026], ['bottle', 98.60112071037292, 359, 639, 22351, 3.01159834670903], ['mouse', 89.26268815994263, 927, 584, 1898, 3.031551511983524]]","['_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= , screen_x= 528, screen_y= 526, value= ), value= tvmonitor) [0.672]']"
000000079634.jpg,"[['diningtable', 98.13886284828186, 1594, 68, 1097, 67], ['bowl', 99.8510241508484, 793, 260, 880, 513], ['sandwich', 97.43198156356813, 1439, 756, 1016, 623], ['spoon', 97.8660762310028, 998, 188, 1019, 791], ['cup', 67.28965640068054, 1415, 1198, 296, 30], ['cup', 72.62173295021056, 1600, 1325, 407, 37], ['bottle', 94.24697756767272, 450, 219, 453, -5], ['cup', 97.21717238426208, 1083, 813, 516, 29]]","[['diningtable', 98.13886284828186, 831, 582, 1571780, 3.315246333379127], ['bowl', 99.8510241508484, 526, 696, 195611, 3.2813209664966214], ['sandwich', 97.43198156356813, 1097, 819, 268419, 3.0648748469467733], ['spoon', 97.8660762310028, 593, 905, 184680, 3.122716438024819], ['cup', 67.28965640068054, 1306, 163, 57722, 2.72779202449101], ['cup', 72.62173295021056, 1462, 222, 101750, 2.969007748528798], ['bottle', 94.24697756767272, 334, 224, 105798, 3.079550304434602], ['cup', 97.21717238426208, 948, 272, 131490, 3.1248569097867285]]",[]
000000082775.jpg,"[['bench', 98.68085980415344, 1389, 68, 1059, 156], ['bottle', 99.24666285514832, 630, 355, 940, 337]]","[['bench', 98.68085980415344, 728, 607, 1192863, 3.0642885387789], ['bottle', 99.24666285514832, 492, 638, 165825, 2.989829891087346]]",[]
